Frame 3: X=992, Y=1240, Radius=12
Frame 3: X=1048, Y=1240, Radius=12
Frame 3: X=972, Y=1236, Radius=8
Frame 3: X=1025, Y=1216, Radius=10
Frame 3: X=992, Y=1207, Radius=20
Frame 3: X=1062, Y=1207, Radius=21
Frame 3: X=1044, Y=1195, Radius=12
Frame 3: X=154, Y=1219, Radius=52
Frame 3: X=924, Y=1307, Radius=141
Frame 3: X=856, Y=1186, Radius=23
Frame 3: X=297, Y=1207, Radius=44
Frame 3: X=289, Y=1190, Radius=29
Frame 3: X=1054, Y=1166, Radius=9
Frame 3: X=1007, Y=1161, Radius=33
Frame 3: X=970, Y=1157, Radius=12
Frame 3: X=989, Y=1221, Radius=77
Frame 3: X=1065, Y=1174, Radius=21
Frame 3: X=1008, Y=1148, Radius=58
Frame 3: X=857, Y=1136, Radius=18
Frame 3: X=831, Y=1149, Radius=31
Frame 3: X=969, Y=1120, Radius=6
Frame 3: X=1076, Y=1131, Radius=18
Frame 3: X=326, Y=1130, Radius=35
Frame 3: X=993, Y=1116, Radius=22
Frame 3: X=24, Y=1109, Radius=24
Frame 3: X=63, Y=1212, Radius=117
Frame 3: X=420, Y=1180, Radius=89
Frame 3: X=174, Y=1130, Radius=39
Frame 3: X=1057, Y=1085, Radius=22
Frame 3: X=976, Y=1076, Radius=16
Frame 3: X=295, Y=1081, Radius=22
Frame 3: X=847, Y=1084, Radius=28
Frame 3: X=1037, Y=1047, Radius=41
Frame 3: X=951, Y=1091, Radius=49
Frame 3: X=357, Y=1065, Radius=41
Frame 3: X=291, Y=1032, Radius=13
Frame 3: X=935, Y=1277, Radius=260
Frame 3: X=849, Y=1031, Radius=13
Frame 3: X=103, Y=1046, Radius=32
Frame 3: X=967, Y=1012, Radius=15
Frame 3: X=175, Y=1044, Radius=45
Frame 3: X=1055, Y=983, Radius=24
Frame 3: X=957, Y=972, Radius=6
Frame 3: X=1070, Y=958, Radius=10
Frame 3: X=980, Y=949, Radius=21
Frame 3: X=930, Y=1014, Radius=73
